country,site,latlong,expenseGroup,expenseSubGroup,baseline
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,1300 Building R/M-HVAC Maint,256154
Australia,Port Melbourne,"-37.836926,144.94455",Cleaning,0201 Cleaning (Interior),249481
Thailand,Lad Krabang,"13.722049,100.784157",Employee Convenience Services,8272 Courtesy Transport Srvcs,246796
Australia,Scoresby,"-37.898567,145.230362",Cleaning,0500 Trash Removal,244718
Australia,South Wharf,"-37.824997,144.951999",FM management & administration,5000 Admin Support Services,239261
Australia,Port Melbourne,"-37.836926,144.94455",Catering,8021 Canteen / Restaurant,226425
Australia,Claremont,"-31.981633,115.781288",Building Fabric,1390 Water Treatment Services,213453
Australia,Scoresby,"-37.898567,145.230362",Cleaning,0201 Cleaning (Interior),212172
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,1300 Building R/M-HVAC Maint,208935
New Zealand,Dunedin,"-45.87876,170.502798",Catering,8021 Canteen / Restaurant,198283
Australia,Port Melbourne,"-37.836926,144.94455",Cleaning,0502 Trash Removal - Recycling,188869
Australia,Claremont,"-31.981633,115.781288",Cleaning,0500 Trash Removal,167796
Australia,South Wharf,"-37.824997,144.951999",Cleaning,0201 Cleaning (Interior),166383
Thailand,Lad Krabang,"13.722049,100.784157",Building Fabric,1100 Building Maint Services,162592
Australia,Port Melbourne,"-37.836926,144.94455",M&E Equipment,1600 Maint-Plumbing,159021
Australia,South Wharf,"-37.824997,144.951999",Building Fabric,1800 Int-Bldg Repair&Maint,158955
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,1349 Mechanical Systems Maint,157330
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,1600 Maint-Plumbing,154059
